tarsus back animal dam fosternest hatchdate sex
-1.89229718155107 1.14642115004672 R187142 R187557 F2102 -0.687402080323984 Fem
1.13610980820353 -0.75965209198163 R187154 R187559 F1902 -0.687402080323984 Male
0.9846894587158 0.144937258930925 R187341 R187568 A602 -0.427981422845288 Male
0.379008060764881 0.255584701107801 R046169 R187518 A1302 -1.46566405276007 Male
-0.0752529876983095 -0.300699223274624 R046161 R187528 A2602 -1.46566405276007 Fem
-1.13519543411242 1.55772186001696 R187409 R187945 C2302 0.350280549590798 Fem
-1.13519543411242 -0.426824377166728 R187507 Fem3 C1902 -0.427981422845288 Male
1.89321155564218 -1.34076257697604 R187028 R187030 C1302 -0.946822737802679 Fem
-0.378093686673768 0.0674815410738786 R046128 R187517 C602 -1.98450536771746 Fem
-0.0752529876983095 -0.123069167669192 R187061 R187523 B2202 -0.946822737802679 Fem
0.9846894587158 -1.88307089891802 R187839 R186902 B1402 1.38796317950558 Male
-0.83235473513696 -0.846056469916367 R187249 R187400 B1002 -0.427981422845288 Fem
0.530428410252608 0.993343535273238 R187489 R187932 B502 0.350280549590798 Male
-1.74087683206334 -0.604736731206865 R187284 R187582 D1202 -0.168560765366593 Male
4.61877784642132 -1.35770338982382 R187255 R187545 D1002 -0.427981422845288 Male
-0.5295140361615 0.993443133693995 R187267 R187546 D902 -0.427981422845288 Fem
0.833269109228067 1.25546821774775 R187669 R187590 D202 0.0908598921121026 Fem
-0.0752529876983095 -0.208845069550524 R187300 R187548 E902 -0.168560765366593 Fem
1.74179120615445 1.9894600316991 R187481 R187594 E302 0.350280549590798 Male
-2.19513788052653 -0.825001198292867 R187165 R187588 F2402 -0.427981422845288 Fem
-0.83235473513696 -1.20710649670096 R187139 R187557 F2102 -0.687402080323984 Fem
-1.13519543411242 0.766027900401391 R187151 R187559 F1902 -0.687402080323984 Fem
-1.28661578360015 -1.0083103167662 R187041 R187531 F1702 -0.946822737802679 Fem
0.833269109228067 -0.276133304797142 R187127 R187592 F1102 -0.427981422845288 Male
1.43895050717899 -0.963783874155423 R187121 R187575 F902 -0.427981422845288 Male
-1.74087683206334 -1.41213768570933 R187898 R186912 F102 2.16622515194167 Male
0.227587711277149 -0.569866299900998 R187444 R187914 G1202 0.350280549590798 Fem
0.68184875974034 -0.762465537591252 R187434 R187955 G602 0.350280549590798 Fem
-0.378093686673768 0.31493780276032 R187096 R187535 G102 -0.687402080323984 Male
0.833269109228067 -0.471234203238159 R187321 K983388 H1302 -0.168560765366593 Male
-1.13519543411242 0.00927002824485496 R187307 Fem20 H1102 -0.168560765366593 Fem
0.227587711277149 -0.212901530356184 R187078 R187086 H502 -0.687402080323984 Male
-0.680934385649233 1.21308855808127 R187391 R187539 A102 -0.427981422845288 Fem
0.379008060764881 1.30398855038566 R187373 R187566 A302 -0.427981422845288 Fem
0.379008060764881 -0.799165782150925 R187347 R187569 A502 -0.168560765366593 Male
0.833269109228067 -0.557163864327744 R187337 R187568 A602 -0.427981422845288 Male
0.379008060764881 -0.398484536025849 R187365 R187537 A1002 -0.427981422845288 Fem
0.530428410252608 0.447143742762309 R046167 R187518 A1302 -1.46566405276007 Male
-0.5295140361615 0.214996280890614 R187496 R187916 A1602 0.0908598921121026 Fem
0.379008060764881 -0.35490752159647 R187803 R186903 A18B02 1.64738383698428 Male
-0.226673337186042 -0.184153870957193 R046147 R187512 A2202 -1.46566405276007 Fem
-2.95223962796518 3.4718082386574 R187383 R187562 A2302 -0.427981422845288 Fem
0.227587711277149 -0.280928510547271 R046158 R187528 A2602 -1.46566405276007 Fem
0.0761673617894172 -0.258231197721672 R187355 R187563 A2702 -0.427981422845288 Male
0.530428410252608 -0.253053462040771 R187226 R187571 C2602 -0.687402080323984 Male
0.530428410252608 -1.44117901219809 R187408 R187945 C2302 0.350280549590798 Male
0.0761673617894172 0.299606576937394 R187506 Fem3 C1902 -0.427981422845288 Male
0.9846894587158 -2.31273333968378 R187027 R187030 C1302 -0.946822737802679 Fem
0.227587711277149 1.31962917140883 R046126 R187517 C602 -1.98450536771746 UNK
0.0761673617894172 -1.08646259592999 R187060 R187523 B2202 -0.946822737802679 Fem
-1.13519543411242 -0.0116244805695651 R187838 R186902 B1402 1.38796317950558 Fem
0.227587711277149 -0.58090501095866 R187796 R187958 B1302 1.12854252202688 Male
0.379008060764881 -0.494576157562313 R187697 R187953 B902 1.12854252202688 Fem
-1.13519543411242 1.27336037725933 R187488 R187932 B502 0.350280549590798 Male
0.227587711277149 -0.88880472990608 R187238 R187547 B202 -0.168560765366593 Fem
-0.0752529876983095 -0.602553920476827 R187688 R187947 D1302 0.869121864548189 Male
-0.83235473513696 0.0558156355212852 R187283 R187582 D1202 -0.168560765366593 Fem
1.74179120615445 -1.33679616880989 R187254 R187545 D1002 -0.427981422845288 UNK
0.379008060764881 -0.915802722071238 R187266 R187546 D902 -0.427981422845288 Fem
0.0761673617894172 -0.711105646718902 R187273 R187239 D802 -0.168560765366593 Male
1.43895050717899 1.54334637550755 R187670 R187590 D202 0.0908598921121026 Male
0.530428410252608 0.0326219346622147 R187046 R187521 E2002 -0.946822737802679 Fem
-0.83235473513696 1.69003088260656 R187865 R187931 E1902 0.350280549590798 Male
-0.0752529876983095 -0.629800879541615 R187290 R187577 E1802 -0.427981422845288 Fem
0.379008060764881 -1.58196445560188 R187201 R187292 E1602 -0.427981422845288 Male
0.757558934484206 -0.673245933832793 R046186 R187516 E1402 -1.46566405276007 Male
1.59037085666672 0.0149864626702085 R187191 R187166 E1202 -0.427981422845288 Male
-0.83235473513696 -1.55729898648366 R187174 R187579 E1102 -0.427981422845288 Male
-0.0752529876983095 0.123935669063357 R187299 R187548 E902 -0.168560765366593 Male
0.379008060764881 -2.21538297098771 R187180 R187155 E702 -0.427981422845288 Fem
0.227587711277149 1.47119300294315 R187480 R187594 E302 0.350280549590798 Fem
-0.0752529876983095 -0.461585624910058 R187162 R187588 F2402 -0.427981422845288 Fem
-1.58945648257561 0.774864693256344 R187137 R187557 F2102 -0.687402080323984 Fem
0.227587711277149 -1.10954853465312 R187150 R187559 F1902 -0.687402080323984 Fem
-0.5295140361615 1.0938798880343 R187039 R187531 F1702 -0.946822737802679 Fem
0.530428410252608 -0.714012763009714 R187893 R187963 F1502 1.64738383698428 Fem
1.21181998294739 0.282058331153156 R187126 R187592 F1102 -0.427981422845288 Male
-1.13519543411242 -2.14860754388307 R187115 R187575 F902 -0.427981422845288 Male
-0.226673337186042 0.944003327515134 R187641 Fem5 F202 0.609701207069493 Fem
-1.28661578360015 0.0129659190444578 R187471 R187930 G2202 0.609701207069493 Male
0.530428410252608 0.907080395192424 R187458 R187598 G1602 0.0908598921121026 Male
1.59037085666672 -0.536513364565934 R187441 R187914 G1202 0.350280549590798 Male
-0.226673337186042 -0.348139958334263 R187636 R187957 G702 1.12854252202688 Fem
0.227587711277149 -0.344785598050174 R187432 R187955 G602 0.350280549590798 Fem
-0.983775084624691 -1.10880770494604 R187104 R187552 G502 -0.687402080323984 Fem
-0.226673337186042 0.664628042782722 R187091 R187535 G102 -0.687402080323984 Fem
-1.28661578360015 -0.661184091044252 R187020 R187527 H3602 -1.46566405276007 Fem
-1.28661578360015 -0.884865557805036 R187327 R187595 H3202 -0.168560765366593 Fem
