FSfamily PO plate
F1 0.668545902564991 1
F1 0.802498045928932 1
F1 0.823365756682304 1
F1 0.769642142215297 1
F1 0.943739323773085 1
F1 0.892377349956664 1
F1 1.01895452569468 4
F1 1.36723865168847 4
F1 1.11136860687719 4
F1 0.762512374079096 4
F1 0.857072726995825 4
F2 0.898460916604597 1
F2 0.857432987810797 1
F2 0.94965527671525 1
F2 0.683754582977949 1
F2 0.915587956227889 1
F3 0.748556882055589 1
F3 0.883052652780874 1
F3 0.848521469878181 1
F3 0.778995239170328 1
F3 0.89764595692889 1
F3 1.26403403491613 1
F3 1.13099165143619 4
F3 0.877532690270988 4
F3 0.871141444545893 4
F3 0.875010118017025 4
F3 1.15491685892036 4
F3 0.977766641925017 4
F4 0.927208577642093 1
F4 1.32308477934745 1
F4 1.01343909408183 1
F4 1.28512948343539 1
F4 0.863075817385844 1
F4 1.21095082962536 1
F4 1.19065960566351 4
F4 1.43659166381382 4
F4 1.32360095507945 4
F4 1.45040085766854 4
F4 1.32424446086648 4
F5 1.20961925079329 1
F5 1.06500073005763 1
F5 1.04192573419026 1
F5 1.01832244972428 1
F5 1.04280511160861 1
F5 0.828336151521663 1
F5 1.12984956774335 4
F5 0.944541216740145 4
F5 1.12403143292396 4
F6 1.40261137317667 1
F6 0.973329317013834 1
F6 0.855986393470871 1
F6 1.33996189986483 1
F6 0.979700177907786 1
F6 0.698407479269182 1
F6 1.14977543163469 4
F6 0.929209219797074 4
F6 1.02526951058863 4
F6 0.910177504796988 4
F6 1.12569276791228 4
F6 0.913887466620964 4
F7 0.941512534983616 1
F7 1.35136270365541 1
F7 0.782176604464997 1
F7 0.813832783994987 1
F7 0.778995239170328 1
F7 0.921741573359817 1
F7 1.17254048634325 4
F7 1.30882864320151 4
F7 1.23137451207357 4
F7 1.24192688677909 4
F7 1.27791590971989 4
F7 1.28888851902341 4
F7 1.06872372876192 4
F8 0.946725355059303 1
F8 1.60696552213432 1
F8 1.23509702020321 1
F8 0.795313788122024 1
F8 1.02071178252566 1
F8 1.23486143987035 4
F8 1.22904310138097 4
F8 1.12291553702676 4
F8 1.22074888684211 4
F9 0.731879140899322 1
F9 0.841444227846952 1
F9 0.95831330077974 1
F9 0.95253132229261 1
F9 1.12910682025558 1
F9 0.939460055836419 1
F9 0.997721676630356 4
F9 1.12179286749962 4
F9 1.01945847798938 4
F9 1.13206019467247 4
F9 1.3554831990654 4
F9 1.32419305022557 4
F10 1.14989659637393 1
F10 0.936750462273691 1
F10 0.97148573854279 1
F10 1.28230481375168 1
F10 0.804101808073119 1
F10 0.926310923966942 1
F11 0.700881095436955 1
F11 0.92081098738097 1
F11 1.10086773516483 1
F11 1.05629748809892 1
F11 0.917746501649808 1
F11 0.87308879067752 1
F11 1.39313727544563 4
F11 1.48528938497594 4
F11 1.1856954378237 4
F11 1.08059532743873 4
F11 1.209930749135 4
F12 0.800328962809297 1
F12 0.998008198987592 1
F12 1.06644200386452 1
F12 1.69518682715097 1
F12 1.1327912816808 1
F12 1.63706407377839 1
F12 1.15128444987561 4
F12 1.18245087570357 4
F12 1.06891254327572 4
F12 1.15170483121507 4
F12 1.1555645588337 4
F14 1.26831955030668 1
F14 0.825194261658356 1
F14 1.4581293140836 1
F16 1.00473934549301 1
F16 1.17920333103292 1
F16 0.546809798014527 1
F16 1.05374359569344 1
F16 1.03100472583018 1
F16 0.830099539420364 1
F16 1.43832541287546 4
F16 1.48504598316541 4
F16 1.27382429755775 4
F16 0.970131487913967 4
F17 1.19735760097293 1
F17 1.19309531668089 1
F17 0.987973804426753 1
F17 1.17010414022127 1
F17 0.894618707003765 1
F17 1.00028258575092 1
F17 1.19943122931942 4
F17 1.20392722894402 4
F17 1.22904310138097 4
F17 0.983029124312427 4
F17 1.12002492215819 4
F17 0.989639382566618 4
F18 1.27028092199831 2
F18 1.06000977782025 2
F18 1.27414937839999 2
F18 1.1047706933526 2
F18 0.923814775758058 2
F18 1.15538813193696 2
F18 1.29326576530312 4
F18 1.08200303334031 4
F18 1.19497442920576 4
F18 1.13299017279151 4
F18 1.18893643090828 4
F18 1.43116847759197 4
F19 1.37877310991527 2
F19 1.37583717399778 2
F19 0.906886234221476 2
F19 0.961216603636717 2
F19 0.900345221680485 2
F19 0.898460916604597 2
F19 1.18132296306471 5
F19 1.20552477162935 5
F19 1.33207036188713 5
F19 1.36001051304311 5
F19 1.28733797511218 5
F19 1.40788081091986 5
F20 1.04894385805363 2
F20 1.06178759240157 2
F20 1.12727103205054 2
F20 1.12284556954852 2
F20 1.04968289494843 2
F20 1.08050697518809 2
F20 1.446523589962 5
F20 1.30405723393277 5
F20 1.48955425620483 5
F20 1.26259715850131 5
F20 1.34267269607388 5
F20 1.30501440277473 5
F21 1.12410095352667 2
F21 1.14659760165224 2
F21 1.03802452354698 2
F21 1.18209270276138 2
F21 1.0151258073546 2
F21 0.972158588804305 2
F21 1.16763659954741 5
F21 1.24051794631697 5
F21 1.27628238034628 5
F21 1.3550812637799 5
F21 1.02071178252566 5
F21 1.22471156501021 5
F22 1.17684996252449 2
F22 1.07366023420068 2
F22 1.30481768683861 2
F22 1.15391150954979 2
F22 0.97047112750555 2
F22 0.96652094341597 2
F22 1.44748385818798 5
F22 1.27855306381184 5
F22 1.49386992537449 5
F22 1.41496631641597 5
F22 1.31946315133291 5
F22 1.26865328420118 5
F23 0.973162592898026 2
F23 1.19891486068144 2
F23 1.16412795730139 2
F23 1.30946242052934 2
F23 1.4274335815991 2
F23 1.09362321835891 5
F23 1.63400401866022 5
F23 1.37432405058842 5
F23 1.40111999217214 5
F23 1.37792660227476 5
F23 1.32715502977534 5
F24 1.27502459002116 2
F24 1.25433292907803 2
F24 0.968765661272982 2
F24 1.2270523203206 2
F24 1.09566490061923 2
F24 1.11563860572126 2
F24 1.30015656109838 5
F24 1.34514042017373 5
F24 1.43327642173467 5
F24 1.54030273269659 5
F24 1.15755272276334 5
F24 1.13789487237989 5
F25 1.06335284017645 2
F25 1.10149787387634 2
F25 1.23790292228438 2
F25 1.32521896819794 2
F25 1.29495055384804 2
F25 1.25372468963048 2
F25 1.40708199605945 5
F25 1.39675451026326 5
F25 1.24875640056602 5
F25 1.58308360492362 5
F25 1.15373354172104 5
F25 1.14721288545696 5
F26 1.34165410546553 2
F26 1.20143691483176 2
F26 1.21249318571088 2
F26 1.26855321999504 2
F26 1.48670654537963 2
F26 0.853047873292364 2
F26 1.21055228903002 2
F26 0.89378219295211 5
F26 1.48798894536372 5
F26 1.44291822326168 5
F26 1.31972572252256 5
F27 0.96389092593841 2
F27 1.23979064381289 2
F27 1.22296925185882 2
F27 1.30235763442045 2
F27 1.1325921783263 2
F27 1.26000634348993 2
F27 1.35202078009069 5
F27 1.36022903177762 5
F27 1.52002263696321 5
F27 0.99158610108669 5
F27 1.20899478908173 5
F27 1.13011892431991 5
F28 1.04115256518208 2
F28 1.35646267235437 2
F28 1.42433300741528 2
F28 1.14604212708394 2
F28 1.3846708428263 2
F28 1.54231737215127 2
F28 1.37381056647158 5
F28 1.41858219585871 5
F28 1.578496492556 5
F28 1.20710956335082 5
F28 1.5454757434274 5
F28 1.1411581952821 5
F29 0.888949865700567 2
F29 0.740063980500374 2
F29 1.14837643439981 2
F29 0.937589256606527 2
F29 0.994828612035466 2
F29 1.05961223843062 2
F29 1.35267691751992 2
F30 1.11542016354976 3
F30 0.887789321599906 3
F30 1.30666532485713 3
F30 1.33573467782707 3
F30 1.07890908431958 3
F30 0.994974483637882 3
F30 1.37137105873809 5
F30 1.2173930810786 5
F30 1.27909313313771 5
F30 1.54709033808522 5
F30 1.36003237451114 5
F30 1.3015884001011 5
F31 1.09493255540885 3
F31 1.17015861697048 3
F31 1.50342533379526 3
F31 1.67924430799587 3
F31 1.64017393951371 3
F31 1.40051707235697 3
F31 1.52082254828943 5
F31 1.36274840326523 5
F31 1.2891004573147 5
F31 1.51714636291274 5
F31 1.62252077460906 5
F32 1.26603590198846 3
F32 1.1399490684705 3
F32 1.05911403735347 3
F32 1.14014050144854 3
F32 1.12897145602521 3
F32 1.24868297577389 3
F32 1.09816492646199 5
F32 1.51792184641751 5
F32 1.24279784767624 5
F32 1.36014164986035 5
F32 1.21112770346272 5
F32 1.17542410699347 5
F33 1.22823290274861 3
F33 1.0199609222915 3
F33 1.12733934869849 3
F33 1.11248248626951 3
F33 1.30563148352512 3
F33 0.768947001677697 3
F33 1.42484438263646 5
F33 1.23363990761569 5
F33 1.41337954390524 5
F33 1.19650297601175 5
F33 1.33443825440721 5
F33 1.12638061998542 5
F34 1.38453358215968 3
F34 1.38863518468373 3
F34 1.07292388990871 3
F34 1.03757295575867 3
F34 1.18844129825939 3
